condition,objectSide,handUsed,blockNumber,density,width(cm),completionTime(ms),errorCount
actualWalkTwo,,,335,0,0,0,0

actualWalkTwo,,,336,0,0,0,0

actualWalkTwo,,,337,0,0,0,0

actualWalkTwo,,,338,0,0,0,0

actualWalkTwo,,,339,0,0,0,0

actualWalkTwo,,,340,0,0,0,0

actualWalkTwo,,,341,0,0,0,0

actualWalkTwo,,,342,0,0,0,0

actualWalkTwo,,,343,0,0,0,0

actualWalkTwo,,,344,0,0,0,0

actualWalkTwo,,,345,0,0,0,0

actualWalkTwo,,,346,0,0,0,0

actualWalkTwo,,,347,0,0,0,0

actualWalkTwo,,,348,0,0,0,0

actualWalkTwo,,,349,0,0,0,0

actualWalkTwo,,,350,0,0,0,0

actualWalkTwo,,,351,0,0,0,0

actualWalkTwo,,,352,0,0,0,0

actualWalkTwo,,,353,0,0,0,0

actualWalkTwo,,,354,0,0,0,0

actualWalkTwo,,,355,0,0,0,0

actualWalkTwo,,,356,0,0,0,0

actualWalkTwo,,,357,0,0,0,0

actualWalkTwo,,,358,0,0,0,0

actualWalkTwo,,,359,0,0,0,0

actualWalkTwo,,,360,0,0,0,0

actualWalkTwo,,,361,0,0,0,0

actualWalkTwo,,,362,0,0,0,0

actualWalkTwo,,,363,0,0,0,0

actualWalkTwo,,,364,0,0,0,0

actualWalkTwo,,,365,0,0,0,0

actualWalkTwo,,,366,0,0,0,0

actualWalkTwo,,,367,0,0,0,0

actualWalkTwo,,,368,0,0,0,0

actualWalkTwo,,,369,0,0,0,0

actualWalkTwo,,,370,0,0,0,0

actualWalkTwo,,,371,0,0,0,0

actualWalkTwo,,,372,0,0,0,0

actualWalkTwo,,,373,0,0,0,0

actualWalkTwo,,,374,0,0,0,0

actualWalkTwo,,,375,0,0,0,0

actualWalkTwo,,,376,0,0,0,0

actualWalkTwo,,,377,0,0,0,0

actualWalkTwo,,,378,0,0,0,0

